time,RHip_X,RHip_Y,RKnee_X,RKnee_Y,RAnkle_X,RAnkle_Y,RShoulder_X,RShoulder_Y,RElbow_X,RElbow_Y,RWrist_X,RWrist_Y
0.0,2.627640073251199,0.8080105482692742,2.5497108873856456,0.4465902883866841,2.2713279482724107,0.1381859179622837,2.9384749670543022,1.1624347813824203,2.8011839557861875,0.9465506579451356,2.9854536211439853,0.8436470454951726
0.0337078651685393,2.6273187672018183,0.8095851816502037,2.5494400816703005,0.4480781549242634,2.269810304385189,0.1381835353978487,2.940424325685154,1.1641737173546438,2.798248252315761,0.9494524328863094,2.9845875666975674,0.8437143812127859
0.0674157303370786,2.623846938882417,0.8063765545079667,2.5519970756948607,0.4445333445075164,2.2693900849561226,0.1374991992290582,2.9430487594415933,1.160526183182661,2.797251354682494,0.945293096957322,2.986527710927993,0.8406449305452596
0.1011235955056179,2.616649989527211,0.7952525144677838,2.558091500508676,0.4340164959230108,2.2721403274502427,0.1360812962550042,2.9438150292947967,1.148016744660941,2.8000266954396404,0.9281431620258404,2.9933548440517312,0.8326674334391521
0.1348314606741573,2.6078784125735366,0.7782547624272605,2.5672626402259704,0.4195740240192504,2.2780879840270205,0.134903310856961,2.9398208116120625,1.1287936075083216,2.805276533964355,0.8991596462862207,3.0032713769296,0.820957143448496
0.1685393258426966,2.599795034259717,0.7608170482853387,2.5784335854627547,0.4053725421811262,2.283546524808072,0.1346242972626241,2.93246362505225,1.108623879846608,2.810816397044244,0.8674095444193055,3.012507098205366,0.8099326815851133
0.2022471910112359,2.5932377800761643,0.7472514073870532,2.587712888211042,0.3935302667702906,2.2850994713915256,0.1342250144716386,2.926485694938564,1.091213956882749,2.817607709776682,0.8427779218141026,3.019550499431725,0.8040058993741022
0.2359550561797752,2.588145170640264,0.7404513850191217,2.5907430902139628,0.3863725167621109,2.2832535990441896,0.1328177116142311,2.925085051350929,1.078787207406947,2.8267048114571103,0.8303501585759485,3.0236942194095864,0.8036641429812577
0.2696629213483146,2.584388788221385,0.7422704031378422,2.5884443013870766,0.3864861482860943,2.2807843594068475,0.1312720651578418,2.9276992110857423,1.0750512159267325,2.836055000655045,0.8296954451406153,3.0246024688835145,0.8060207720233538
0.3033707865168539,2.583057941234012,0.7518522965030859,2.585153529065616,0.3929913561505409,2.2793879423300143,0.1304691082736597,2.9328810289444327,1.0811204187964256,2.843549270334894,0.837067567389646,3.02438996775294,0.8087601829701223
0.3370786516853932,2.585368167181635,0.7650479151371585,2.5829071035270936,0.4013110267147875,2.2788462453877187,0.130180839863068,2.941052086616212,1.091402282963718,2.849661233581321,0.8479995024348935,3.0253452405760872,0.8122332271162938
0.3707865168539326,2.589509953114014,0.7774335065254343,2.581255882939161,0.4079728577868948,2.2782763831043518,0.1301154432381593,2.9516291521063382,1.0998404244589504,2.8551541571821155,0.8589722213652731,3.0274384909090624,0.817048671179206
